scope_reason,award_id,piid,operator_raw,operator_relation,naics_code,naics_description,pop_city,pop_state,pop_country,fiscal_year,obligated_amount,description,source_file
foreign_performance,CONT_AWD_0001_9700_FA558712D0007_9700,0001,SODEXO LTD,exact,561210,FACILITIES SUPPORT SERVICES,,,GBR,2012.0,78147.12,"CUSTODIAL SERVICES AT RAF MILDENHALL, UNITED KINGDOM",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0001_9700_W912PA05D0001_9700,0001,SODEXO PASS BELGIUM SA,unknown,524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,,,BEL,2005.0,597881.32,200505!500330!2100!W912PA!RCO BENELUX                     !W912PA05D0001  !A!N! !N!0001         !      !20050201!20060131!282859214!282859214!261190003!N!SODEXHO PASS BELGIUM SA       !RUE DU MARCHE AUX HERBES 1!BRUXELLES           !BE!*    !00000!   !BE!*                   !*                     !BELGIUM   !+000000634670!N!N!000000000000!9999!MISCELLANEOUS ITEMS                               !C9E!ALL OTHER SUPPLIES AND EQUIPMENT    !000 !*                             !524292!E! !5!A!S! ! ! !20200930!B! ! !N!Z!A!U!J!2!002!A!  !Z!N!Z!B!BE!Y!L!N! ! ! ! ! !A!A!000!A!B!N! ! ! ! !    !      !0001! !,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0001_9700_W912PA10D0001_9700,0001,SODEXO BELGIUM SA,unknown,524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,,,BEL,2010.0,739694.77,MEAL VOUCHERS,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0001_9700_W912PA13D0004_9700,0001,SODEXO PASS BELGIUM SA,unknown,524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,,,BEL,2014.0,701958.91,MEAL VOUCHERS;IGF::OT::IGF,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0001_9700_W912PA15D0003_9700,0001,SODEXO PASS BELGIUM SA,unknown,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",,,BEL,2015.0,625778.29,IGF::OT::IGF ELECTRONIC MEAL VOUCHERS,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0002_9700_FA558712D0007_9700,0002,SODEXO LTD,exact,561210,FACILITIES SUPPORT SERVICES,,,GBR,2012.0,20834.27,LEVEL 4 CLEANING -CDC/AYA/FITNESS/DCMA,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0002_9700_W912PA05D0001_9700,0002,SODEXO PASS BELGIUM SA,unknown,524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,,,BEL,2006.0,599389.72,200605!600417!2100!W912PA!RCO BENELUX                     !W912PA05D0001  !A!N! !N!0002         !      !20060207!20070131!282859214!282859214!261190003!N!SODEXHO PASS BELGIUM SA       !RUE DU MARCHE AUX HERBES 1!BRUXELLES           !BE!     !00000!   !BE!                    !                      !BELGIUM   !+000000780220!N!N!000000000000!G099!OTHER SOCIAL SERVICES                             !C9E!ALL OTHER SUPPLIES AND EQUIPMENT    !000 !NOT DISCERNABLE               !524292!E! !5!A!S! ! ! !99990909!B! ! !N!Z!A!U!J!2!002!B!  !Z!N!Z!B!BE!Y!L!N! ! ! ! ! !A!A!000!A!B!N! ! ! ! !    !      !0001! !,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0002_9700_W912PA15D0003_9700,0002,SODEXO PASS BELGIUM SA,unknown,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",,,BEL,2016.0,133018.19,IGF::OT::IGF    ELECTRONIC MEAL VOUCHERS,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0003_9700_FA558712D0007_9700,0003,SODEXO LTD,exact,561210,FACILITIES SUPPORT SERVICES,,,GBR,2012.0,9888.21,"CUSTODIAL SERVICES FOR AIR PASSENGER TERMINAL, RAF MILDENHALL",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
foreign_performance,CONT_AWD_0003_9700_W912PA05D0001_9700,0003,SODEXO PASS BELGIUM SA,unknown,524292,THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,,,BEL,2007.0,1431297.52,MEAL VOUCHER,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
