case_id,operator,matched_how,scope,line_of_business,legal_name,trade_nm,naic_cd,naics_code_description,cty_nm,st_cd,zip_cd,findings_start_date,findings_end_date,bw_atp_amt,ee_atp_cnt,cmp_assd,case_violtn_cnt,flsa_repeat_violator
1359737,Aramark,trade_name,excluded_other_line,adjacent,Aramark Corporation,Aramark Uniform and Career Apparel,81233,Linen and Uniform Supply,Rochester,NY,14605,2004-10-12,2004-10-12,0.0,0,0.0,0,N/A
1392465,Aramark,trade_name,excluded_other_line,adjacent,"Aramark Uniform Services, Inc.","Aramark Uniform Services, Inc.",81233,Linen and Uniform Supply,Eugene,OR,97401,2003-01-11,2005-01-10,0.0,0,0.0,0,N/A
1398668,Aramark,trade_name,excluded_other_line,adjacent,Aramark Uniform Services,Aramark Uniform Services,812332,Industrial Launderers,Reading,PA,19612,2003-04-01,2005-04-01,0.0,0,0.0,0,N/A
1409549,Aramark,trade_name,excluded_other_line,adjacent,"Aramark Facility Services, Inc",Aramark,561720,Janitorial Services,Saint Louis,MO,63139,2005-03-22,2005-07-26,0.0,0,0.0,0,N/A
1416460,Aramark,trade_name,excluded_other_line,adjacent,Aramark Uniform Services Inc,Aramark,81233,Linen and Uniform Supply,Granite City,IL,62040,2004-08-30,2005-09-01,0.0,0,0.0,0,N/A
1448840,Aramark,trade_name,excluded_other_line,adjacent,Aramark Uniform Services,Aramark Uniform Service,812332,Industrial Launderers,Greensboro,NC,27406,2005-02-19,2007-02-17,0.0,0,0.0,0,N/A
1451332,Aramark,trade_name,excluded_other_line,adjacent,Aramark Uniform & Career Apparel,Aramark,81233,Linen and Uniform Supply,Springfield,IL,62703,2006-05-01,2006-06-12,0.0,0,0.0,0,N/A
1499359,Aramark,trade_name,excluded_other_line,adjacent,"ARAMARK Services, Inc.",Aramark Offshore Services,812332,Industrial Launderers,Houston,TX,77090,2007-10-18,2007-10-31,625.8,1,0.0,2,N/A
1518697,Aramark,trade_name,excluded_other_line,other_line_of_business,Doyon/ARAMARK Joint Venture,Aramark,561599,All Other Travel Arrangement and Reservation Services,Fairbanks,AK,99701,2007-01-01,2008-10-03,89985.06,199,0.0,368,N/A
1529769,Aramark,trade_name,excluded_other_line,other_line_of_business,"Aramark Schools, LLC",Aramark,31199,All Other Food Manufacturing,Lake Havasu City,AZ,86403,2008-10-20,2009-02-09,4942.08,1,0.0,1,N/A
1549150,Aramark,trade_name,excluded_other_line,other_line_of_business,Aramark Schools Facilities LLC,Aramark Education,541611,Administrative Management and General Management Consulting Services,Philadelphia,PA,19106,2007-03-18,2009-03-17,5160.92,1,0.0,1,N/A
1574861,Aramark,trade_name,excluded_other_line,adjacent,"Ararmark Uniform & Career Apparel, Inc.",Aramark,812331,Linen Supply,Lawrence,MA,1843,2009-03-19,2011-03-18,0.0,0,0.0,0,N/A
1590485,Aramark,trade_name,excluded_other_line,adjacent,Aramark Mangement Services LP,Aramark Facility Services,561210,Facilities Support Services,Linthicum Heights,MD,21090,2008-10-27,2010-10-18,0.0,0,0.0,0,N/A
1593237,Aramark,trade_name,excluded_other_line,other_line_of_business,ARAMARK Management Services Limited Partnersh,Aramark,56111,Office Administrative Services,Philadelphia,PA,19107,2010-05-21,2010-06-12,554.63,2,0.0,3,N/A
1598059,Aramark,trade_name,excluded_other_line,adjacent,Aramark Corporation,Aramark Corporation,454390,Other Direct Selling Establishments,Syosset,NY,11791,2009-01-27,2011-01-28,934.73,1,0.0,1,N/A
1631845,Aramark,distinctive,excluded_other_line,other_line_of_business,Doyon-Aramark Joint Venture,Doyon-Aramark Joint Venture,55111,Management of Companies and Enterprises,Anchorage,AK,99503,2010-05-01,2013-10-01,19726.74,2,0.0,6,N/A
1637764,Aramark,trade_name,excluded_other_line,adjacent,"Armark Management Services, LP",Aramark Corporation,56172,Janitorial Services,Houston,TX,77002,2010-03-06,2012-03-03,0.0,0,0.0,0,N/A
