issue,record_type,record_id,venue_name,operator,what_the_pipeline_produced,source,snippet
1 undated event(s) could not be placed on the timeline,tenure,sp-c8eb0aef90,An Bhialann,Sodexo,? to ? [unknown],|The Daily Mirror; London (UK) | 2016-11-03,"… on-site at one of Ireland's oldest and largest universities. The company will manage An Bhialann, the 720-seater restaurant that forms the heart of NUI Galway's on-campus catering offer. With over 17,000 students and more than 2,400 staff, NUI Galway has buil…"
1 undated event(s) could not be placed on the timeline,tenure,sp-ea85b29ed0,Drexel University,Aramark,2016-01-01 to ? [unknown],"|Fair Disclosure Wire; Linthicum | 2016-11-15; |Philadelphia Daily News; Philadelphia, Pa. | 2016-11-03; |Philadelphia Inquirer; Philadelphia, Pa. | 2016-11-01; |TCA Regional News; Chicago | 2016-10-31; |University Wire; Carlsbad | 2016-10-28","…North America business. 1. In Philadelphia, recently signed two leading universities, Drexel University and Temple University, as well as Pennsylvania Department of Corrections. 2. In Uniform business, added Publix, largest employee-owned grocery retailer in U…"
1 undated event(s) could not be placed on the timeline,tenure,sp-c565079fbc,FGCU,Aramark,? to ? [unknown],"|The News Press; Fort Myers, Fla. | 2016-08-17","…ges to the Southwest Florida school. If all goes well, the biggest news coming out of FGCU this school year will be the naming of a new president. The school term won't quite be four months old when the FGCU board selects President Wilson Bradshaw's successor.…"
1 undated event(s) could not be placed on the timeline,tenure,sp-fe702bd682,FGCU,Compass,? to ? [unknown],"|The News Press; Fort Myers, Fla. | 2016-08-17","…ges to the Southwest Florida school. If all goes well, the biggest news coming out of FGCU this school year will be the naming of a new president. The school term won't quite be four months old when the FGCU board selects President Wilson Bradshaw's successor.…"
1 undated event(s) could not be placed on the timeline,tenure,sp-b42e58d358,Leo O'Donovan dining hall,Aramark,? to ? [unknown],|University Wire; Carlsbad | 2016-12-12,"Publication: The Georgetown Voice, Georgetown University, Washington DC. Leo O’Donovan dining hall and Hoya Court are scheduled to undergo significant renovations for the 2016-17 academic year. Both Hoya Court and the upper floor of Leo’s will host new meal pl…"
1 undated event(s) could not be placed on the timeline,tenure,sp-a94ad7a317,Michigan Department of Corrections,Trinity Services Group,2015-09-01 to ? [unknown],|Crain's Detroit Business; Detroit | 2017-01-30,"…licy changes expected from the new administration, Isely said. MICH-CELLANEOUS -- The Michigan Department of Corrections slapped its latest food contractor with more than $2 million in penalties for inadequate staffing and other problems since it began providi…"
1 undated event(s) could not be placed on the timeline,tenure,sp-c115bf1de2,Ramsey County correctional facility,Minnesota,? to ? [unknown],|The Guardian (Online); London (UK) | 2016-09-30,"Today is a good day for the roughly 500 prisoners at Ramsey County correctional facility in St Paul, Minnesota. Today is an egg day. It’s just before 7am and the inmates are lining up in the mess hall for breakfast, which this morning features two boiled eggs …"
1 undated event(s) could not be placed on the timeline,tenure,sp-6930b3a8e3,Rock and Roll Hall of Fame,Aramark,? to ? [unknown],|Fair Disclosure Wire; Linthicum | 2016-08-10,"… partnership that really enhances our product offerings. We hit the ground running in Yosemite National Park, provided food service to both the RNC and DNC conventions and also received more external recognition awards. Also in early August we acquired HPSI, a…"
1 undated event(s) could not be placed on the timeline,tenure,sp-1b1d922502,SHSU,"ARAMARK Educational Services of Texas, Inc.",? to ? [unknown],"|US Fed News Service, Including US State News; Washington, D.C. | 2016-08-20","… 2016. Contracts * Approved the replacement of the existing license agreement between SHSU and Blackboard Learn, which has been in effect since Sept. 1, 2012, for a five-year term beginning Sept. 1, 2016. * Approved Amendment No. 13 to the 2005 Food Service Co…"
1 undated event(s) could not be placed on the timeline,tenure,sp-4e73938c79,U of L,Aramark,2016-08-01 to ? [unknown],|University Wire; Carlsbad | 2016-09-03; |University Wire; Carlsbad | 2016-09-08,"…f Louisville , Louisville, KY By Olivia Krauth- In Aramark‘s first two weeks of being U of L‘s dining partner, U of L Associate Vice President for Business Affairs Mark Watkins estimates they‘ve seen two to three million transactions and received positive stud…"
1 undated event(s) could not be placed on the timeline,tenure,sp-ec7fc6bc5c,U of L,Sodexo,? to ? [unknown],|University Wire; Carlsbad | 2016-09-08,"…ning students here at the universityhave recently noticedthe not-so-subtle changes to U of L's dining services. Many may have not even known the university's previous food services provider, Sodexo, is long gone - replaced by newcomer Aramark. Sodexo hasprovid…"
1 undated event(s) could not be placed on the timeline,tenure,sp-030e9be7e6,UChicago Dining,Compass,? to ? [unknown],|University Wire; Carlsbad | 2016-10-18,"…logical Sciences Learning Center and Stuart Cafés have closed after being reviewed by UChicago Dining. Both cafés required significant subsidies to operate, and were underutilized, each averaging 100 transaction a day in comparison to other cafés around campus…"
1 undated event(s) could not be placed on the timeline,tenure,sp-c283a0a42a,UChicago Dining,Aramark,? to ? [unknown],|University Wire; Carlsbad | 2016-10-18,"…logical Sciences Learning Center and Stuart Cafés have closed after being reviewed by UChicago Dining. Both cafés required significant subsidies to operate, and were underutilized, each averaging 100 transaction a day in comparison to other cafés around campus…"
1 undated event(s) could not be placed on the timeline,tenure,sp-8e2acc5ed1,Yosemite National Park,Aramark,? to ? [unknown],|Fair Disclosure Wire; Linthicum | 2016-08-10,"… partnership that really enhances our product offerings. We hit the ground running in Yosemite National Park, provided food service to both the RNC and DNC conventions and also received more external recognition awards. Also in early August we acquired HPSI, a…"
2 undated event(s) could not be placed on the timeline,tenure,sp-77c80aed1b,Michigan,Aramark Correctional Services,? to ? [unknown],"|Kennebec Journal; Augusta, Me. | 2016-10-25; |Morning Sentinel; Waterville, Me. | 2016-10-25","…that were previously managed and operated by Louisiana State University. And in 2014, Michigan terminated a three-year, $145 million contract with Aramark Correctional Services a year after the company hired to feed state prisoners came under scrutiny for a la…"
2 undated event(s) could not be placed on the timeline,tenure,sp-d9cda0e85b,SMSU campus,Compass,? to ? [unknown],|University Wire; Carlsbad | 2016-09-08,"Publication: The Spur, , Southwest State University , Marshall, MN As of July, the SMSU campus Starbucks has been transitioning to a student-run model of management. As a result of this decision, the employees at the Starbucks are well on their way to effectiv…"
2 undated event(s) could not be placed on the timeline,tenure,sp-e269b3b965,SMSU campus,Aramark,? to ? [unknown],|University Wire; Carlsbad | 2016-09-08,"Publication: The Spur, , Southwest State University , Marshall, MN As of July, the SMSU campus Starbucks has been transitioning to a student-run model of management. As a result of this decision, the employees at the Starbucks are well on their way to effectiv…"
2 undated event(s) could not be placed on the timeline,tenure,sp-b40c9cc1ae,Temple University,Sodexo,? to 2017-07-01 [ended/lost_bid],"|University Wire; Carlsbad | 2016-10-21; |University Wire; Carlsbad | 2016-10-11; |TCA Regional News; Chicago | 2016-10-11; |Philadelphia Inquirer; Philadelphia, Pa. | 2016-11-01","…o conclude a 21-year partnership this December. Exactly three weeks later on Oct. 11, Temple University announced that they would not be renewing their contract with SodexoMagic, who they had partnered with for 28 years. Temple's new 15-year contract with Aram…"
2 undated event(s) could not be placed on the timeline,tenure,sp-466064802c,University of Maine at Farmington,Sodexo,? to ? [unknown],"|TCA Regional News; Chicago | 2016-08-26; |Sun Journal; Lewiston, Me. | 2016-08-25","…n other business, the board approved a liquor license for the new food service at the University of Maine at Farmington. Sodexo America has taken over the service formerly provided by Aramark. The board will meet at 6:30 p.m. Monday, Aug. 29, at the Town Offic…"
2 undated event(s) could not be placed on the timeline,tenure,sp-63a5025d7e,University of Maine at Farmington,Aramark,? to ? [unknown],"|TCA Regional News; Chicago | 2016-08-26; |Sun Journal; Lewiston, Me. | 2016-08-25","…n other business, the board approved a liquor license for the new food service at the University of Maine at Farmington. Sodexo America has taken over the service formerly provided by Aramark. The board will meet at 6:30 p.m. Monday, Aug. 29, at the Town Offic…"
2 undated event(s) could not be placed on the timeline,tenure,sp-a2c0a068a7,University of New Orleans,Aramark,1999-01-01 to ? [unknown],|University Wire; Carlsbad | 2016-09-21,"Publication: Driftwood, University of New Orleans, New Orleans LA. Aramark’s 10-year contract has been renewed twice by the university, allowing for a 20-year partnership. Many University of New Orleans students have mixed feelings with food supplier, but UNO …"
3 undated event(s) could not be placed on the timeline,tenure,sp-7a2a8b0198,Mayo Clinic,Compass,? to ? [unknown],"|Post - Bulletin; Rochester, Minn. | 2016-08-31; |Post - Bulletin; Rochester, Minn. | 2016-08-20",Aug. 31--Mayo Clinic officially declined SEIU Healthcare Minnesota's proposal Tuesday during the second bargaining session between the health care giant and about 700 unionized food service workers. The rejection prompted the union to again call on Mayo to pub…
3 undated event(s) could not be placed on the timeline,tenure,sp-7e50ce51b9,Mayo Clinic,Sodexo,? to ? [unknown],"|Post - Bulletin; Rochester, Minn. | 2016-08-31; |Post - Bulletin; Rochester, Minn. | 2016-08-20",Aug. 31--Mayo Clinic officially declined SEIU Healthcare Minnesota's proposal Tuesday during the second bargaining session between the health care giant and about 700 unionized food service workers. The rejection prompted the union to again call on Mayo to pub…
3 undated event(s) could not be placed on the timeline,tenure,sp-3241352e3e,Temple University,Aramark,2016-01-01 to ? [unknown],"|Fair Disclosure Wire; Linthicum | 2016-11-15; |MENA Report; Camden | 2016-10-14; |University Wire; Carlsbad | 2016-10-11; |University Wire; Carlsbad | 2017-01-17; |University Wire; Carlsbad | 2016-10-21; |US Fed News Service, Including US State News; Washington, D.C. | 2016-10-12; |TCA Regional News; Chicago | 2016-10-11; |University Wire; Carlsbad | 2016-12-06","…. 1. In Philadelphia, recently signed two leading universities, Drexel University and Temple University, as well as Pennsylvania Department of Corrections. 2. In Uniform business, added Publix, largest employee-owned grocery retailer in US. 5. Outside North Am…"
3 undated event(s) could not be placed on the timeline,tenure,sp-ee1e3bbdb9,U.S. Bank Stadium,Aramark,2016-01-01 to ? [unknown],"|Fair Disclosure Wire; Linthicum | 2016-11-15; |Star Tribune; Minneapolis, Minn. | 2016-11-03; |Star Tribune; Minneapolis, Minn. | 2016-11-02; |TCA Regional News; Chicago | 2016-11-02; |TCA Regional News; Chicago | 2016-11-03","… where we serve more than six million fans annually at 11 stadiums. We opened the new US Bank Stadium, home of the Minnesota Vikings. And recently expanded our partnership with the Super Bowl champion Denver Broncos to manage their retail operations in their t…"
"Aramark CEO states they 'recently signed two leading universities, Drexel University and Temple University' in Philadelphia. No exact date given; described as recent during FY16 earnings call (FY16 ended ~Oct 2016). Date is approximate.",event,ev_151d52e651c23ef4,Drexel University,Aramark,won on 2016-01-01 (confidence 0.8),|Fair Disclosure Wire; Linthicum | 2016-11-15,"…North America business. 1. In Philadelphia, recently signed two leading universities, Drexel University and Temple University, as well as Pennsylvania Department of Corrections. 2. In Uniform business, added Publix, largest employee-owned grocery retailer in U…"
Aramark CEO states they 'recently signed' Temple University. No candidate venue matches. No exact date; described as recent during FY16 earnings call.,event,ev_6577b229781263b6,Temple University,Aramark,won on 2016-01-01 (confidence 0.8),|Fair Disclosure Wire; Linthicum | 2016-11-15,"…. 1. In Philadelphia, recently signed two leading universities, Drexel University and Temple University, as well as Pennsylvania Department of Corrections. 2. In Uniform business, added Publix, largest employee-owned grocery retailer in US. 5. Outside North Am…"
