venue_id,canonical_name,venue_type,city,city_source,state,lat,lng,opened_date,closed_date,capacity,wikidata_qid,osm_id,spine_source,coord_delta_km,in_scope,name_is_ambiguous,alias_count,dated_alias_count,all_aliases
wd-Q1001597,Blue Arena,arena,Loveland,incorporated_places,CO,40.443889,-104.989444,,,7200,Q1001597,way/57982514,wikidata,0.025,True,False,3,0,Blue Arena | Budweiser Events Center | Budweiser Event Center
wd-Q1001660,College Club House and Gymnasium,recreation,Houghton,incorporated_places,MI,47.12,-88.549444,,,,Q1001660,,wikidata,,False,False,2,0,College Club House and Gymnasium | R.O.T.C. Building
wd-Q1016843,Burnside Skatepark,recreation,Portland,incorporated_places,OR,45.523,-122.664,1990-01-01,,,Q1016843,,wikidata,,False,False,1,0,Burnside Skatepark
wd-Q1017286,Busch Memorial Stadium,stadium,St. Louis,incorporated_places,MO,38.623888888,-90.1925,,2005-12-08,49676,Q1017286,,wikidata,,True,True,3,0,Busch Memorial Stadium | Busch Stadium | Busch Stadium II
wd-Q1025406,Astrodome,stadium,Houston,incorporated_places,TX,29.685,-95.407777777,1965-04-09,,62439,Q1025406,way/119420928,wikidata,0.015,True,False,5,0,Astrodome | Harris County Domed Stadium | Houston Astrodome | Reliant Astrodome | the Astrodome
wd-Q1026099,Cajundome,other,Lafayette,incorporated_places,LA,30.218444444,-92.039055555,1985-11-10,,11550,Q1026099,,wikidata,,True,False,1,0,Cajundome
wd-Q1026837,California Memorial Stadium,stadium,Berkeley,incorporated_places,CA,37.871111111,-122.250833333,,,62467,Q1026837,way/24025053,wikidata,0.015,True,False,1,0,California Memorial Stadium
wd-Q1028275,Allegacy Federal Credit Union Stadium,stadium,Winston-Salem,incorporated_places,NC,36.130556,-80.254722,1968-09-14,,31500,Q1028275,way/31358635,wikidata,0.009,True,True,4,0,Allegacy Federal Credit Union Stadium | BB&T Field | Groves Stadium | Truist Field at Wake Forest
wd-Q1029132,Louis Armstrong Stadium,arena,New York,incorporated_places,NY,40.750944,-73.8455,1978-01-01,2016-10-01,10200,Q1029132,,wikidata,,True,False,1,0,Louis Armstrong Stadium
wd-Q1029941,Camp Randall Stadium,stadium,Madison,incorporated_places,WI,43.07,-89.412777777,1917-11-03,,10000,Q1029941,way/26745607,wikidata,0.015,True,False,1,0,Camp Randall Stadium
wd-Q1033076,Candlestick Park,stadium,San Francisco,incorporated_places,CA,37.713611111,-122.386111111,1960-04-12,2015-09-24,69732,Q1033076,,wikidata,,True,False,2,0,Candlestick Park | Harney Stadium
wd-Q1048921,Nassau Veterans Memorial Coliseum,arena,Uniondale,census_designated_places,NY,40.722777777,-73.590555555,1972-02-11,,16170,Q1048921,way/149077761,wikidata,0.017,True,False,2,0,Nassau Veterans Memorial Coliseum | Nassau County Veterans Memorial Coliseum
wd-Q1052370,Lincoln Financial Field,stadium,Philadelphia,incorporated_places,PA,39.90089,-75.16776,,,68532,Q1052370,way/32891768,wikidata,0.026,True,False,2,0,Lincoln Financial Field | The Linc
wd-Q1052519,Cedar Park Center,arena,Cedar Park,incorporated_places,TX,30.5414,-97.8202,,,6863,Q1052519,way/141709195,wikidata,0.03,True,False,2,0,Cedar Park Center | H-E-B Center at Cedar Park
wd-Q1052807,Wrigley Field,stadium,Chicago,incorporated_places,IL,41.948055555,-87.655555555,,,41072,Q1052807,relation/17379974,wikidata,0.012,True,True,4,0,Wrigley Field | Cubs Park | Weeghman Park | Wrigley
wd-Q1053764,Central Connecticut State University,other,Connecticut,wikidata_unverified,CT,,,1849-01-01,,,Q1053764,,wikidata,,False,False,5,3,Teachers College of Connecticut | Central Connecticut State College | Central Connecticut State University | CCSU | ccsu.edu
